Entidad,Municipio,Superficie Sembrada,Superficie Cosechada,Superficie Siniestrada,Produccion,Rendimiento,Anio,Mes,Cultivo
Baja California Sur,La Paz,3.00,0.00,0.00,0.00,0,2018,10,6
Colima,Manzanillo,1.40,0.00,0.00,0.00,0,2018,10,6
Durango,Durango,12.00,0.00,0.00,0.00,0,2018,10,6
Durango,Mezquital,110.00,0.00,0.00,0.00,0,2018,10,6
Durango,Nombre de Dios,165.00,0.00,0.00,0.00,0,2018,10,6
Durango,Súchil,50.00,0.00,0.00,0.00,0,2018,10,6
Durango,Vicente Guerrero,45.00,0.00,0.00,0.00,0,2018,10,6
Guanajuato,Abasolo,241.00,102.00,0.00,"4,904.00",48.08,2018,10,6
Guanajuato,Acámbaro,91.00,0.00,0.00,0.00,0,2018,10,6
Guanajuato,San Miguel de Allende,10.00,0.00,0.00,0.00,0,2018,10,6
Guanajuato,Apaseo El Alto,3.00,3.00,0.00,235.00,78.33,2018,10,6
Guanajuato,Apaseo El Grande,9.00,8.00,0.00,478.25,59.78,2018,10,6
Guanajuato,Manuel Doblado,420.00,115.00,0.00,"10,350.00",90.00,2018,10,6
Guanajuato,Comonfort,66.00,60.00,0.00,"3,833.25",63.89,2018,10,6
Guanajuato,Cortazar,6.00,0.00,0.00,0.00,0,2018,10,6
Guanajuato,Cuerámaro,115.00,53.00,0.00,"2,846.00",53.70,2018,10,6
Guanajuato,Guanajuato,21.00,2.00,0.00,174.00,87.00,2018,10,6
Guanajuato,Huanímaro,160.00,70.00,0.00,"3,241.00",46.30,2018,10,6
Guanajuato,Irapuato,59.30,0.00,0.00,0.00,0,2018,10,6
Guanajuato,Jerécuaro,232.00,0.00,0.00,0.00,0,2018,10,6
Guanajuato,León,165.00,0.00,0.00,0.00,0,2018,10,6
Guanajuato,Pénjamo,930.00,369.00,0.00,"12,391.95",33.58,2018,10,6
Guanajuato,Pueblo Nuevo,52.00,0.00,0.00,0.00,0,2018,10,6
Guanajuato,Purísima del Rincón,530.00,110.00,0.00,"9,922.00",90.20,2018,10,6
Guanajuato,Romita,"3,050.00",704.00,0.00,"61,952.00",88.00,2018,10,6
Guanajuato,Salamanca,24.00,0.00,0.00,0.00,0,2018,10,6
Guanajuato,San Felipe,"5,250.00",0.00,0.00,0.00,0,2018,10,6
Guanajuato,San Francisco del Rincón,540.00,80.00,0.00,"7,280.00",91.00,2018,10,6
Guanajuato,Santa Cruz de Juventino Rosas,12.00,11.00,0.00,148.40,13.49,2018,10,6
Guanajuato,Silao de La Victoria,204.00,70.00,0.00,"6,090.00",87.00,2018,10,6
Guanajuato,Tarimoro,9.00,7.00,0.00,536.25,76.61,2018,10,6
Guanajuato,Valle de Santiago,15.00,0.00,0.00,0.00,0,2018,10,6
Guerrero,Ahuacuotzingo,40.00,0.00,0.00,0.00,0,2018,10,6
Guerrero,Atenango del Río,30.00,2.00,0.00,70.24,35.12,2018,10,6
Guerrero,Copalillo,2.00,0.00,0.00,0.00,0,2018,10,6
Guerrero,Cuetzala del Progreso,7.50,4.00,0.00,91.24,22.81,2018,10,6
Guerrero,Chilapa de Álvarez,19.00,0.00,0.00,0.00,0,2018,10,6
Guerrero,Chilpancingo de Los Bravo,147.00,95.00,0.00,"3,514.05",36.99,2018,10,6
Guerrero,General Heliodoro Castillo,62.00,0.00,0.00,0.00,0,2018,10,6
Guerrero,Huitzuco de Los Figueroa,58.00,10.00,0.00,351.90,35.19,2018,10,6
Guerrero,Ixcateopan de Cuauhtémoc,5.00,0.00,0.00,0.00,0,2018,10,6
Guerrero,Zihuatanejo de Azueta,18.00,0.00,0.00,0.00,0,2018,10,6
Guerrero,Leonardo Bravo,37.00,0.00,0.00,0.00,0,2018,10,6
Guerrero,Mártir de Cuilapan,476.00,195.50,0.00,"7,722.25",39.50,2018,10,6
Guerrero,Mochitlán,27.00,0.00,0.00,0.00,0,2018,10,6
Guerrero,Pilcaya,41.90,6.50,0.00,364.00,56.00,2018,10,6
Guerrero,Quechultenango,15.00,0.00,0.00,0.00,0,2018,10,6
Guerrero,Taxco de Alarcón,22.00,0.00,0.00,0.00,0,2018,10,6
Guerrero,Técpan de Galeana,5.00,0.00,0.00,0.00,0,2018,10,6
Guerrero,Teloloapan,49.00,46.00,0.00,"1,349.50",29.34,2018,10,6
Guerrero,Tetipac,39.00,0.00,0.00,0.00,0,2018,10,6
Guerrero,Tixtla de Guerrero,502.00,0.00,0.00,0.00,0,2018,10,6
Guerrero,Zitlala,49.00,0.00,0.00,0.00,0,2018,10,6
Guerrero,Eduardo Neri,91.50,0.00,0.00,0.00,0,2018,10,6
Jalisco,Acatic,"1,070.00",85.00,0.00,"7,395.00",87.00,2018,10,6
Jalisco,Acatlán de Juárez,326.00,170.00,0.00,"14,628.00",86.05,2018,10,6
Jalisco,Ahualulco de Mercado,643.00,165.00,0.00,"13,738.42",83.26,2018,10,6
Jalisco,Amacueca,77.43,0.00,0.00,0.00,0,2018,10,6
Jalisco,Amatitán,"1,450.00",420.00,0.00,"40,520.00",96.48,2018,10,6
Jalisco,Ameca,437.00,50.00,0.00,"5,120.00",102.40,2018,10,6
Jalisco,San Juanito de Escobedo,530.00,165.00,0.00,"14,511.65",87.95,2018,10,6
Jalisco,Arandas,"12,416.00","1,481.00",0.00,"136,814.78",92.38,2018,10,6
Jalisco,El Arenal,297.00,120.00,0.00,"10,100.00",84.17,2018,10,6
Jalisco,Atengo,445.00,74.98,0.00,"5,851.80",78.04,2018,10,6
Jalisco,Atenguillo,16.00,0.00,0.00,0.00,0,2018,10,6
Jalisco,Atotonilco El Alto,"2,087.00",242.00,0.00,"23,661.00",97.77,2018,10,6
Jalisco,Atoyac,10.83,0.00,0.00,0.00,0,2018,10,6
Jalisco,Autlán de Navarro,791.00,75.00,0.00,"5,357.00",71.43,2018,10,6
Jalisco,Ayotlán,420.00,50.00,0.00,"4,590.00",91.80,2018,10,6
Jalisco,Ayutla,135.00,0.00,0.00,0.00,0,2018,10,6
Jalisco,La Barca,685.00,182.00,0.00,"16,333.24",89.74,2018,10,6
Jalisco,Cabo Corrientes,180.00,0.00,0.00,0.00,0,2018,10,6
Jalisco,Zapotlán el Grande,170.23,2.00,0.00,170.00,85.00,2018,10,6
Jalisco,Cocula,333.00,110.00,0.00,"10,045.25",91.32,2018,10,6
Jalisco,Colotlán,18.40,0.00,0.00,0.00,0,2018,10,6
Jalisco,Cuquío,760.00,205.00,0.00,"16,571.20",80.84,2018,10,6
Jalisco,Chapala,25.00,0.00,0.00,0.00,0,2018,10,6
Jalisco,Ejutla,33.00,0.00,0.00,0.00,0,2018,10,6
Jalisco,Encarnación de Díaz,110.00,0.00,0.00,0.00,0,2018,10,6
Jalisco,Etzatlán,310.00,133.00,0.00,"11,696.07",87.94,2018,10,6
Jalisco,El Grullo,121.50,13.00,0.00,985.00,75.77,2018,10,6
Jalisco,Guachinango,107.00,20.00,0.00,"2,050.00",102.50,2018,10,6
Jalisco,Hostotipaquillo,341.00,98.00,0.00,"9,720.00",99.18,2018,10,6
Jalisco,Ixtlahuacán de Los Membrillos,80.00,0.00,0.00,0.00,0,2018,10,6
Jalisco,Ixtlahuacán del Río,155.00,68.00,0.00,"5,700.44",83.83,2018,10,6
Jalisco,Jamay,394.00,0.00,0.00,0.00,0,2018,10,6
Jalisco,Jesús María,"7,943.00",837.00,0.00,"76,376.25",91.25,2018,10,6
Jalisco,Jocotepec,198.00,0.00,0.00,0.00,0,2018,10,6
Jalisco,Juanacatlán,169.00,0.00,0.00,0.00,0,2018,10,6
Jalisco,Juchitlán,315.00,75.00,0.00,"5,950.93",79.35,2018,10,6
Jalisco,El Limón,375.22,39.00,0.00,"2,755.00",70.64,2018,10,6
Jalisco,Magdalena,650.00,205.00,0.00,"20,300.00",99.02,2018,10,6
Jalisco,Mascota,30.00,0.00,0.00,0.00,0,2018,10,6
Jalisco,Mexticacán,168.00,49.00,0.00,"4,384.77",89.49,2018,10,6
Jalisco,Mezquitic,4.00,0.00,0.00,0.00,0,2018,10,6
Jalisco,Mixtlán,92.00,30.00,0.00,"2,980.00",99.33,2018,10,6
Jalisco,Ocotlán,267.00,188.00,0.00,"16,839.06",89.57,2018,10,6
Jalisco,Pihuamo,"2,215.00","1,000.00",0.00,"98,000.00",98.00,2018,10,6
Jalisco,Poncitlán,150.00,0.00,0.00,0.00,0,2018,10,6
Jalisco,Villa Purificación,70.00,0.00,0.00,0.00,0,2018,10,6
Jalisco,El Salto,38.00,0.00,0.00,0.00,0,2018,10,6
Jalisco,San Cristóbal de La Barranca,460.00,52.00,0.00,"4,544.50",87.39,2018,10,6
