Entidad,Municipio,Superficie Sembrada,Superficie Cosechada,Superficie Siniestrada,Produccion,Rendimiento,Anio,Mes,Cultivo
Baja California Sur,La Paz,3.00,0.00,0.00,0.00,0,2019,7,6
Colima,Manzanillo,1.40,0.00,0.00,0.00,0,2019,7,6
Durango,Durango,12.00,0.00,0.00,0.00,0,2019,7,6
Durango,Mezquital,110.00,0.00,0.00,0.00,0,2019,7,6
Durango,Nombre de Dios,165.00,0.00,0.00,0.00,0,2019,7,6
Durango,Santiago Papasquiaro,28.05,0.00,0.00,0.00,0,2019,7,6
Durango,Súchil,50.00,0.00,0.00,0.00,0,2019,7,6
Durango,Vicente Guerrero,45.00,0.00,0.00,0.00,0,2019,7,6
Guanajuato,Abasolo,500.00,33.00,0.00,"2,442.00",74.00,2019,7,6
Guanajuato,San Miguel de Allende,10.00,0.00,0.00,0.00,0,2019,7,6
Guanajuato,Apaseo El Alto,15.00,5.00,0.00,313.75,62.75,2019,7,6
Guanajuato,Apaseo El Grande,20.00,6.00,0.00,380.10,63.35,2019,7,6
Guanajuato,Manuel Doblado,700.00,110.00,0.00,"10,230.00",93.00,2019,7,6
Guanajuato,Comonfort,33.00,12.00,0.00,491.00,40.92,2019,7,6
Guanajuato,Cortazar,6.00,0.00,0.00,0.00,0,2019,7,6
Guanajuato,Cuerámaro,580.00,32.00,0.00,"2,275.20",71.10,2019,7,6
Guanajuato,Guanajuato,30.00,4.00,0.00,325.44,81.36,2019,7,6
Guanajuato,Huanímaro,"1,360.00",33.00,0.00,"2,409.00",73.00,2019,7,6
Guanajuato,Irapuato,87.50,0.00,0.00,0.00,0,2019,7,6
Guanajuato,Jerécuaro,17.00,0.00,0.00,0.00,0,2019,7,6
Guanajuato,León,196.00,0.00,0.00,0.00,0,2019,7,6
Guanajuato,Pénjamo,"1,120.00",77.00,0.00,"5,345.00",69.42,2019,7,6
Guanajuato,Pueblo Nuevo,43.00,0.00,0.00,0.00,0,2019,7,6
Guanajuato,Purísima del Rincón,640.00,105.00,0.00,"9,660.00",92.00,2019,7,6
Guanajuato,Romita,"3,780.00",652.00,0.00,"57,115.20",87.60,2019,7,6
Guanajuato,Salamanca,24.00,0.00,0.00,0.00,0,2019,7,6
Guanajuato,San Felipe,"2,625.00",0.00,0.00,0.00,0,2019,7,6
Guanajuato,San Francisco del Rincón,"1,600.00",80.00,0.00,"7,200.00",90.00,2019,7,6
Guanajuato,Santa Cruz de Juventino Rosas,10.00,4.00,0.00,242.20,60.55,2019,7,6
Guanajuato,Silao de La Victoria,259.00,60.00,0.00,"5,280.00",88.00,2019,7,6
Guanajuato,Tarimoro,10.00,4.00,0.00,267.00,66.75,2019,7,6
Guanajuato,Valle de Santiago,63.40,0.00,0.00,0.00,0,2019,7,6
Guerrero,Ahuacuotzingo,40.00,0.00,0.00,0.00,0,2019,7,6
Guerrero,Atenango del Río,27.00,0.00,0.00,0.00,0,2019,7,6
Guerrero,Copalillo,2.00,0.00,0.00,0.00,0,2019,7,6
Guerrero,Cuetzala del Progreso,11.00,7.50,0.00,173.25,23.10,2019,7,6
Guerrero,Chilapa de Álvarez,19.00,0.00,0.00,0.00,0,2019,7,6
Guerrero,Chilpancingo de Los Bravo,147.00,0.00,0.00,0.00,0,2019,7,6
Guerrero,General Heliodoro Castillo,62.00,0.00,0.00,0.00,0,2019,7,6
Guerrero,Huitzuco de Los Figueroa,54.00,8.40,0.00,278.00,33.10,2019,7,6
Guerrero,Ixcateopan de Cuauhtémoc,5.00,0.00,0.00,0.00,0,2019,7,6
Guerrero,Zihuatanejo de Azueta,27.00,18.00,0.00,"1,697.85",94.32,2019,7,6
Guerrero,Leonardo Bravo,36.00,0.00,0.00,0.00,0,2019,7,6
Guerrero,Mártir de Cuilapan,480.00,0.00,0.00,0.00,0,2019,7,6
Guerrero,Mochitlán,27.00,0.00,0.00,0.00,0,2019,7,6
Guerrero,Pilcaya,35.80,7.00,0.00,392.30,56.04,2019,7,6
Guerrero,Quechultenango,13.00,0.00,0.00,0.00,0,2019,7,6
Guerrero,Taxco de Alarcón,15.00,0.00,0.00,0.00,0,2019,7,6
Guerrero,Técpan de Galeana,5.00,5.00,0.00,492.72,98.54,2019,7,6
Guerrero,Teloloapan,49.00,46.00,0.00,"1,368.00",29.74,2019,7,6
Guerrero,Tetipac,32.00,0.00,0.00,0.00,0,2019,7,6
Guerrero,Tixtla de Guerrero,507.00,0.00,0.00,0.00,0,2019,7,6
Guerrero,Zitlala,49.00,0.00,0.00,0.00,0,2019,7,6
Guerrero,Eduardo Neri,96.00,0.00,0.00,0.00,0,2019,7,6
Jalisco,Acatic,"1,160.00",160.00,0.00,"11,510.94",71.94,2019,7,6
Jalisco,Acatlán de Juárez,398.00,22.00,0.00,"1,940.62",88.21,2019,7,6
Jalisco,Ahualulco de Mercado,703.00,155.00,0.00,"14,126.00",91.14,2019,7,6
Jalisco,Amacueca,77.43,0.00,0.00,0.00,0,2019,7,6
Jalisco,Amatitán,"1,545.00",178.00,0.00,"17,179.80",96.52,2019,7,6
Jalisco,Ameca,480.00,48.00,0.00,"4,660.70",97.10,2019,7,6
Jalisco,San Juanito de Escobedo,673.00,135.00,0.00,"11,760.00",87.11,2019,7,6
