fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
02/01/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
03/01/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
04/01/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
05/01/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
08/01/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
09/01/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
10/01/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
11/01/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
12/01/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
15/01/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
16/01/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
17/01/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
18/01/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
19/01/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
22/01/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
23/01/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
24/01/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
25/01/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
26/01/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
29/01/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
30/01/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
31/01/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
01/02/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
02/02/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
06/02/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
07/02/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
08/02/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
09/02/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
12/02/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
13/02/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
14/02/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
15/02/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
16/02/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
19/02/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
20/02/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
21/02/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
22/02/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
23/02/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
26/02/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
27/02/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
28/02/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
01/03/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
02/03/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
05/03/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
06/03/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
07/03/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
08/03/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
09/03/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
12/03/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
13/03/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
14/03/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
15/03/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
16/03/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
20/03/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
21/03/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
22/03/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
23/03/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
26/03/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
27/03/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
28/03/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
02/04/2018,Kilogramo,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,26.00,28.00,28.00,,ejote largo_primera
