Entidad,Municipio,Superficie Sembrada,Superficie Cosechada,Superficie Siniestrada,Produccion,Rendimiento,Anio,Mes,Cultivo
Aguascalientes,Aguascalientes,8.00,0.00,0.00,0.00,0,2023,8,6
Baja California Sur,La Paz,3.00,0.00,0.00,0.00,0,2023,8,6
Colima,Manzanillo,86.29,0.00,0.00,0.00,0,2023,8,6
Durango,Durango,13.00,0.00,0.00,0.00,0,2023,8,6
Durango,Mezquital,110.00,0.00,0.00,0.00,0,2023,8,6
Durango,Nombre de Dios,184.00,0.00,0.00,0.00,0,2023,8,6
Durango,Súchil,67.00,0.00,0.00,0.00,0,2023,8,6
Durango,Vicente Guerrero,25.00,0.00,0.00,0.00,0,2023,8,6
Guanajuato,Abasolo,"4,790.00",57.00,0.00,"4,360.50",76.50,2023,8,6
Guanajuato,Acámbaro,19.00,1.00,0.00,78.00,78.00,2023,8,6
Guanajuato,San Miguel de Allende,10.00,0.00,0.00,0.00,0,2023,8,6
Guanajuato,Apaseo El Alto,12.00,3.00,0.00,165.00,55.00,2023,8,6
Guanajuato,Apaseo El Grande,17.00,2.00,0.00,108.00,54.00,2023,8,6
Guanajuato,Celaya,17.00,4.00,0.00,208.00,52.00,2023,8,6
Guanajuato,Manuel Doblado,"8,854.00",148.00,0.00,"13,320.00",90.00,2023,8,6
Guanajuato,Comonfort,62.00,12.00,0.00,520.00,43.33,2023,8,6
Guanajuato,Coroneo,20.00,0.00,0.00,0.00,0,2023,8,6
Guanajuato,Cortazar,6.00,0.00,0.00,0.00,0,2023,8,6
Guanajuato,Cuerámaro,"2,868.00",47.00,0.00,"3,454.50",73.50,2023,8,6
Guanajuato,Guanajuato,415.00,36.00,0.00,"2,808.00",78.00,2023,8,6
Guanajuato,Huanímaro,"2,203.00",82.00,0.00,"6,478.00",79.00,2023,8,6
Guanajuato,Irapuato,142.00,12.00,0.00,876.00,73.00,2023,8,6
Guanajuato,Jerécuaro,67.00,1.00,0.00,56.00,56.00,2023,8,6
Guanajuato,León,560.00,15.00,0.00,"1,110.00",74.00,2023,8,6
Guanajuato,Pénjamo,"12,990.00",956.00,0.00,"24,218.00",25.33,2023,8,6
Guanajuato,Pueblo Nuevo,44.00,4.00,0.00,302.00,75.50,2023,8,6
Guanajuato,Purísima del Rincón,"3,468.00",160.00,0.00,"14,480.00",90.50,2023,8,6
Guanajuato,Romita,"10,944.00",750.00,0.00,"63,000.00",84.00,2023,8,6
Guanajuato,Salamanca,15.00,0.00,0.00,0.00,0,2023,8,6
Guanajuato,San Felipe,"3,460.00",198.00,0.00,"13,662.00",69.00,2023,8,6
Guanajuato,San Francisco del Rincón,"2,230.00",155.00,0.00,"14,105.00",91.00,2023,8,6
Guanajuato,San José Iturbide,45.00,3.00,0.00,90.00,30.00,2023,8,6
Guanajuato,San Luis de La Paz,"1,020.00",0.00,0.00,0.00,0,2023,8,6
Guanajuato,Santa Cruz de Juventino Rosas,55.00,1.50,0.00,87.00,58.00,2023,8,6
Guanajuato,Silao de La Victoria,"1,230.00",270.00,0.00,"22,950.00",85.00,2023,8,6
Guanajuato,Tarandacuao,7.00,0.00,0.00,0.00,0,2023,8,6
Guanajuato,Tarimoro,26.00,4.00,0.00,224.00,56.00,2023,8,6
Guanajuato,Valle de Santiago,60.00,6.00,0.00,453.00,75.50,2023,8,6
Guanajuato,Villagrán,4.00,0.00,0.00,0.00,0,2023,8,6
Guerrero,Ahuacuotzingo,45.00,0.00,0.00,0.00,0,2023,8,6
Guerrero,Atenango del Río,30.00,0.00,0.00,0.00,0,2023,8,6
Guerrero,Copalillo,4.00,0.00,0.00,0.00,0,2023,8,6
Guerrero,Cuetzala del Progreso,11.00,4.00,0.00,87.85,21.96,2023,8,6
Guerrero,Chilapa de Álvarez,16.00,0.00,0.00,0.00,0,2023,8,6
Guerrero,Chilpancingo de Los Bravo,150.00,0.00,0.00,0.00,0,2023,8,6
Guerrero,General Heliodoro Castillo,62.00,0.00,0.00,0.00,0,2023,8,6
Guerrero,Huitzuco de Los Figueroa,55.00,7.00,0.00,214.76,30.68,2023,8,6
Guerrero,Ixcateopan de Cuauhtémoc,5.00,0.00,0.00,0.00,0,2023,8,6
Guerrero,Leonardo Bravo,38.00,0.00,0.00,0.00,0,2023,8,6
Guerrero,Mártir de Cuilapan,480.00,0.00,0.00,0.00,0,2023,8,6
Guerrero,Mochitlán,28.00,0.00,0.00,0.00,0,2023,8,6
Guerrero,Pilcaya,35.80,9.00,0.00,457.60,50.84,2023,8,6
Guerrero,Quechultenango,30.00,0.00,0.00,0.00,0,2023,8,6
Guerrero,Taxco de Alarcón,15.00,0.00,0.00,0.00,0,2023,8,6
